Population and dwelling counts,"Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021"
G6P,29578,15475,14480
G6R,4702,1834,1797
G6S,5384,2370,2205
G6T,11201,4647,4558
G6V,32034,16976,15915
G6W,25242,12252,11837
G6X,9307,4796,4625
G6Y,7232,3071,2995
G6Z,23582,9564,9392
G7A,25429,10423,10142
G7B,17614,8450,8075
G7G,16414,7383,7168
G7H,28684,15376,14395
G7J,14443,7388,7078
G7K,762,381,374
G7N,6389,2739,2629
G7P,7418,3278,3097
G7S,19807,8818,8550
G7T,1640,720,706
G7X,25550,13829,12829
G7Y,628,300,289
G7Z,2638,1094,1078
G8A,6033,2845,2710
G8B,22060,10927,10359
G8C,4412,1888,1867
G8E,3837,1665,1577
G8G,4121,2075,1806
G8H,10040,4946,4612
G8J,4259,2529,1884
G8K,10089,5169,4686
G8L,14282,7227,6518
G8M,5173,2369,2250
G8N,2511,1263,1082
G8P,7310,3590,3222
G8T,27831,14646,14025
G8V,9956,4242,4163
G8W,11010,4962,4785
G8Y,33298,16364,15794
G8Z,13972,7785,6983
G9A,20399,12524,11508
G9B,18680,8252,7961
G9C,4017,1636,1603
G9H,13559,6345,6033
G9N,16125,9676,8702
G9P,11567,5881,5627
G9R,2324,1058,991
G9T,15940,8679,8003
G9X,10610,6133,5258
H1A,33158,14941,14532
H1B,20651,9718,9442
H1C,15085,4930,4856
H1E,42568,17190,16674
H1G,50989,21276,20282
H1H,37847,17094,16134
H1J,10587,4928,4797
H1K,37304,15402,14843
H1L,34612,17646,16735
H1M,29352,14536,13806
H1N,24444,12731,12046
H1P,18118,7662,7370
H1R,31259,12416,11848
H1S,26715,11089,10622
H1T,31318,16461,15569
H1V,21908,12588,11829
H1W,30004,17687,16602
H1X,30178,16827,15800
H1Y,29286,16145,15217
H1Z,36487,14837,14071
H2A,19454,9248,8753
H2B,18049,9341,8728
H2C,17976,9001,8502
H2E,23507,12660,11754
H2G,22115,12862,12002
H2H,14728,8542,7953
H2J,27028,16179,14975
H2K,29084,18011,16590
H2L,27057,17542,15492
H2M,18468,9440,8941
H2N,6442,2936,2744
H2P,14388,8017,7468
H2R,22987,13379,12460
H2S,27217,16198,15060
H2T,16297,9219,8458
H2V,31998,13860,12682
H2W,11508,6881,6108
H2X,21548,15925,12845
H2Y,3727,2988,2262
H2Z,3757,3036,2349
H3A,4360,3722,2680
H3B,1900,1566,1136
H3C,18583,13197,11178
H3E,21565,10843,10288
H3G,11424,9041,6878
H3H,20690,15061,12347
H3J,11915,6169,5627
H3K,15275,8472,7835
H3L,20996,10593,9857
H3M,15840,6801,6447
H3N,29080,13287,12308
