FSA,Number of Returns,Total Income,Median Total Income,Average Total Income
V6E,24230,2026895000,66921,83652
V6G,23660,1775961000,60048,75061
V6H,17780,2051579000,92308,115386
V6J,18990,2060849000,86817,108522
V6K,20910,1908340000,73011,91264
V6L,8570,917709000,85666,107083
V6M,13910,1324545000,76177,95222
V6N,11370,1335694000,93980,117475
V6P,27360,1835358000,53664,67081
V6R,15270,1744220000,91380,114225
V6S,11740,981398000,66875,83594
V6T,11180,690602000,49416,61771
V6V,9880,539477000,43681,54602
V6W,2010,111734000,44471,55589
V6X,37120,1690916000,36441,45552
V6Y,43070,1902403000,35336,44170
V6Z,16560,1625548000,78528,98161
V7A,22980,1145784000,39888,49860
V7B,690,48192000,55874,69843
V7C,35000,1813212000,41444,51806
V7E,31920,1987611000,49814,62268
V7G,10030,993667000,79255,99069
V7H,9950,825555000,66376,82970
V7J,13900,1028013000,59165,73957
V7K,9920,901746000,72720,90901
V7L,23180,1779103000,61400,76751
V7M,19760,1315759000,53268,66586
V7N,12490,1131174000,72452,90566
V7P,11420,771512000,54045,67557
V7R,12700,1505083000,94808,118510
V7S,8810,1030889000,93610,117013
V7T,8140,719812000,70742,88428
V7V,12880,2181823000,135516,169396
V7W,7060,1114733000,126315,157894
V7X,230,54887000,190911,238639
V7Y,280,111614000,318896,398621
V7Z,9550,571700000,47890,59863
V8A,16220,779651000,38453,48067
V8B,11670,833036000,57105,71382
V8C,6330,421323000,53247,66559
V8E,10220,712875000,55801,69752
V8G,15370,872879000,45432,56791
V8J,9510,562865000,47348,59186
V8K,9590,650940000,54300,67876
V8L,21800,1631707000,59878,74848
V8M,13960,921789000,52824,66030
V8N,20900,1451314000,55552,69440
V8P,14620,915992000,50122,62653
V8R,19260,1412548000,58672,73341
V8S,13840,1250764000,72298,90373
V8T,16490,856966000,41574,51968
V8V,22930,1523207000,53142,66428
V8W,7450,627341000,67364,84206
V8X,20110,1316514000,52372,65465
V8Y,8680,760578000,70099,87624
V8Z,26090,1527347000,46832,58541
V9A,31840,1821331000,45761,57202
V9B,42290,2542769000,48100,60126
V9C,21370,1383034000,51774,64718
V9E,4380,364744000,66619,83274
V9G,13350,727206000,43577,54472
V9H,8480,500821000,47247,59059
V9J,7830,454463000,46432,58041
V9K,14760,820825000,44488,55611
V9L,30190,1543300000,40895,51119
V9M,15200,909310000,47858,59823
V9N,27660,1482031000,42864,53580
V9P,25030,1445421000,46197,57747
V9R,25510,1292755000,40540,50676
V9S,13790,677685000,39314,49143
V9T,30170,1734251000,45985,57482
V9V,9520,585981000,49241,61552
V9W,26040,1331322000,40900,51126
V9X,8930,508205000,45527,56909
V9Y,21800,1005605000,36902,46128
V9Z,16020,884315000,44160,55200
Total,4115170,249411879000,48485,60607
Y0A,1350,73200000,43377,54222
Y0B,5440,305440000,44917,56147
Y1A,24310,1720747000,56626,70783
Total,31100,2099388000,54003,67504
X0E,15760,917051000,46550,58188
X0G,390,13925000,28564,35705
X1A,16030,1325748000,66163,82704
Total,32190,2256724000,56084,70106
X0A,11780,719234000,48844,61055
X0B,4050,189254000,37383,46729
X0C,6610,337736000,40875,51094
Total,22440,1246223000,44428,55535
Total,29866500,1726353028000,46241,57802
