FSA,Number of Returns,Total Income,Median Total Income,Average Total Income
G1E,22810,1089533000,38212,47765
G1G,20200,1069585000,42359,52949
G1H,24680,1163679000,37720,47150
G1J,18500,748190000,32353,40442
G1K,14750,682058000,36992,46241
G1L,17420,735688000,33785,42232
G1M,16900,750661000,35533,44417
G1N,6710,277213000,33050,41313
G1P,13430,630801000,37575,46969
G1R,13200,840847000,50960,63700
G1S,21500,1508837000,56142,70178
G1T,5840,678501000,92944,116181
G1V,17990,1003871000,44640,55801
G1W,18290,1241170000,54288,67860
G1X,22090,1350382000,48904,61130
G1Y,10980,863110000,62885,78607
G2A,12610,725204000,46008,57510
G2B,20430,1086022000,42526,53158
G2C,10400,615700000,47360,59201
G2E,17600,993186000,45144,56431
G2G,9080,534867000,47124,58906
G2J,2810,169941000,48381,60477
G2K,11470,771300000,53795,67244
G2L,12160,712029000,46844,58555
G2M,4480,276613000,49394,61743
G2N,6660,366213000,43988,54986
G3A,17200,1301677000,60542,75678
G3B,6720,580782000,69140,86425
G3C,8010,515456000,51480,64351
G3E,12730,729060000,45816,57271
G3G,8060,417700000,41458,51823
G3H,8350,439880000,42144,52680
G3J,8290,446123000,43051,53814
G3K,15420,870207000,45146,56433
G3L,9300,445609000,38331,47914
G3M,5910,282894000,38293,47867
G3N,8480,538133000,50767,63459
G3S,4700,314711000,53567,66959
G3Z,6450,305625000,37906,47383
G4A,2620,119211000,36400,45500
G4R,15700,853718000,43500,54376
G4S,3980,216638000,43544,54431
G4T,11470,590056000,41154,51443
G4V,5490,220177000,32084,40105
G4W,12060,533767000,35407,44259
G4X,12840,611228000,38082,47603
G4Z,7680,451849000,47067,58834
G5A,7290,326335000,35811,44764
G5B,4820,290979000,48295,60369
G5C,9510,495954000,41720,52150
G5H,5740,227308000,31680,39600
G5J,5190,233048000,35922,44903
G5L,24840,1128794000,36353,45442
G5M,7240,408865000,45178,56473
G5N,6990,411689000,47116,58896
G5R,16930,815063000,38514,48143
G5T,2530,101952000,32237,40297
G5V,9720,424275000,34919,43649
G5X,5150,236346000,36713,45892
G5Y,19760,905233000,36648,45811
G5Z,6160,336209000,43663,54579
G6A,2030,116580000,45942,57428
G6B,7160,313876000,35069,43837
G6C,6560,358482000,43716,54646
G6E,11060,576399000,41692,52115
G6G,17180,743606000,34626,43283
G6H,6030,252321000,33475,41844
G6J,8690,483194000,44482,55603
G6K,6600,422512000,51212,64016
G6L,13140,566878000,34512,43141
G6P,24980,1067911000,34200,42750
G6R,3800,200306000,42169,52712
G6S,4510,228252000,40488,50610
G6T,9150,488849000,42740,53426
G6V,27480,1394402000,40593,50742
G6W,21390,1212428000,45345,56682
G6X,7740,390913000,40404,50505
G6Y,5800,367775000,50727,63409
G6Z,19520,1201325000,49234,61543
G7A,20860,1409504000,54055,67569
G7B,14790,718838000,38881,48602
G7G,13750,690270000,40160,50201
G7H,24380,1318448000,43263,54079
G7J,12140,621795000,40974,51218
G7K,700,36066000,41217,51522
G7N,5270,322370000,48936,61170
G7P,6130,320589000,41838,52298
G7S,16220,909992000,44882,56103
G7T,1300,81576000,50200,62750
G7X,21580,979751000,36320,45400
G7Y,550,29538000,42964,53705
G7Z,2250,126852000,45102,56378
G8A,5010,247533000,39525,49407
G8B,18760,867054000,36974,46218
G8C,3780,230418000,48765,60957
G8E,3210,158868000,39592,49491
G8G,3310,154944000,37448,46810
G8H,8400,375053000,35719,44649
G8J,3440,159348000,37057,46322
G8K,8880,422845000,38093,47617
G8L,12200,552411000,36223,45279
G8M,4330,198800000,36729,45912
G8N,2120,99311000,37475,46844
G8P,5880,340942000,46386,57983
G8T,23270,925239000,31808,39761
G8V,8370,464710000,44416,55520
G8W,9260,508811000,43957,54947
G8Y,28030,1476554000,42141,52677
G8Z,11360,459748000,32376,40470
G9A,16810,656438000,31240,39050
G9B,15730,951230000,48377,60472
G9C,3130,186479000,47661,59577
G9H,11430,599209000,41939,52424
G9N,13690,508091000,29691,37114
G9P,10210,470394000,36856,46071
G9R,1900,105484000,44413,55517
G9T,13780,602583000,34982,43728
G9X,8920,408517000,36637,45797
H0M,1350,10191000,6038,7548
H1A,27120,1311615000,38690,48363
H1B,16490,720275000,34943,43679
H1C,11470,599704000,41827,52284
H1E,35720,1631657000,36543,45679
H1G,38220,1367180000,28616,35771
H1H,28750,1017587000,28315,35394
H1J,8690,422902000,38932,48665
H1K,28230,1405471000,39828,49786
H1L,27060,1210834000,35796,44746
H1M,24360,1194723000,39235,49044
H1N,19300,866391000,35912,44890
H1P,14470,658096000,36384,45480
H1R,24070,1036826000,34460,43075
H1S,20820,835354000,32097,40122
H1T,25080,1262243000,40262,50328
H1V,17510,870117000,39753,49692
H1W,23550,1093647000,37151,46439
H1X,24020,1175922000,39164,48955
H1Y,22860,1317835000,46118,57648
H1Z,27040,851449000,25190,31488
H2A,15280,565625000,29613,37017
H2B,13940,642471000,36870,46088
H2C,14170,825986000,46632,58291
H2E,18460,787319000,34120,42650
H2G,17300,968418000,44781,55977
H2H,11250,661181000,47016,58771
H2J,20820,1454793000,55899,69874
H2K,22760,1048365000,36848,46061
H2L,21700,1274891000,47000,58750
H2M,15100,827797000,43856,54820
H2N,5180,206774000,31933,39917
H2P,11330,630697000,44532,55666
H2R,18150,1095094000,48268,60335
H2S,21640,1297534000,47967,59959
H2T,12730,786429000,49421,61777
H2V,22410,2305643000,82307,102884
H2W,8510,506672000,47630,59538
H2X,15980,747320000,37412,46765
H2Y,3080,384624000,99901,124877
H2Z,2940,231476000,62986,78733
H3A,3750,406858000,86796,108495
H3B,15270,509543000,26694,33368
H3C,14580,1321007000,72483,90604
H3E,17610,1755052000,79729,99662
H3G,8770,948108000,86486,108108
H3H,16840,927070000,44040,55051
